layer,metric,mean,max,std,last_value,last_iteration
3,fc1_activation_underflows%,0.000868161231884058,0.0012,0.0002112938700063079,0.0011,22070
4,fc1_activation_underflows%,0.0008253170289855071,0.0011,0.00017110581214169185,0.001,22070
5,fc1_activation_underflows%,0.0007887681159420289,0.001,0.00014676923880263594,0.0009,22070
6,fc1_activation_underflows%,0.00038324275362318843,0.0005,7.849970024115413e-05,0.0005,22070
7,fc1_activation_underflows%,0.0003572010869565218,0.0004,6.287732576837374e-05,0.0004,22070
8,fc1_activation_underflows%,0.0001874094202898551,0.0002,3.318183132752452e-05,0.0002,22070
9,fc1_activation_underflows%,0.0001014039855072464,0.0002,1.1768181566600466e-05,0.0001,22070
10,fc1_activation_underflows%,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
11,fc1_activation_underflows%,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
12,fc1_activation_underflows%,8.455615942028987e-05,0.0001,3.614503481204662e-05,0.0001,22070
13,fc1_activation_underflows%,9.800724637681161e-05,0.0001,1.3978297050313769e-05,0.0001,22070
14,fc1_activation_underflows%,8.854166666666669e-05,0.0001,3.185905871825991e-05,0.0001,22070
15,fc1_activation_underflows%,4.723731884057972e-05,0.0001,4.993492659392709e-05,0.0001,22070
16,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
17,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
18,fc1_activation_underflows%,9.057971014492754e-08,0.0001,3.0089644088558476e-06,0.0,22070
19,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
20,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
21,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
22,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
23,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
24,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
25,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
26,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
27,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
28,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
29,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
30,fc1_activation_underflows%,0.0,0.0,0.0,0.0,22070
3,fc1_gradient_underflows%,0.025986141304347822,0.0311,0.0029100077248571275,0.0306,22070
4,fc1_gradient_underflows%,0.027587952898550722,0.032,0.0023265765756466587,0.0314,22070
5,fc1_gradient_underflows%,0.0356481884057971,0.0417,0.003514374182770185,0.0408,22070
6,fc1_gradient_underflows%,0.04021811594202899,0.0426,0.001616298859669615,0.0417,22070
7,fc1_gradient_underflows%,0.0477125,0.0523,0.0020388917936619132,0.0473,22070
8,fc1_gradient_underflows%,0.04447269021739131,0.0518,0.0024254282008456768,0.0419,22070
9,fc1_gradient_underflows%,0.04558215579710145,0.0518,0.0017817985418340171,0.0435,22070
10,fc1_gradient_underflows%,0.047176358695652176,0.0504,0.000595507240547628,0.0467,22070
11,fc1_gradient_underflows%,0.05043614130434783,0.0524,0.0002921072634088764,0.0504,22070
