module.embedding.word_embeddings.weight	torch.Size([27, 640])
module.encoder.layers.0.self_attention.linear_proj.weight	torch.Size([640, 640])
module.encoder.layers.0.self_attention.linear_qkv.layer_norm_weight	torch.Size([640])
module.encoder.layers.0.self_attention.linear_qkv.weight	torch.Size([1920, 640])
module.encoder.layers.0.mlp.linear_fc1.layer_norm_weight	torch.Size([640])
module.encoder.layers.0.mlp.linear_fc1.weight	torch.Size([2288, 640])
module.encoder.layers.0.mlp.linear_fc2.weight	torch.Size([640, 1144])
module.encoder.layers.1.self_attention.linear_proj.weight	torch.Size([640, 640])
module.encoder.layers.1.self_attention.linear_qkv.layer_norm_weight	torch.Size([640])
module.encoder.layers.1.self_attention.linear_qkv.weight	torch.Size([1920, 640])
module.encoder.layers.1.mlp.linear_fc1.layer_norm_weight	torch.Size([640])
module.encoder.layers.1.mlp.linear_fc1.weight	torch.Size([2288, 640])
module.encoder.layers.1.mlp.linear_fc2.weight	torch.Size([640, 1144])
module.encoder.layers.2.self_attention.linear_proj.weight	torch.Size([640, 640])
module.encoder.layers.2.self_attention.linear_qkv.layer_norm_weight	torch.Size([640])
module.encoder.layers.2.self_attention.linear_qkv.weight	torch.Size([1920, 640])
module.encoder.layers.2.mlp.linear_fc1.layer_norm_weight	torch.Size([640])
module.encoder.layers.2.mlp.linear_fc1.weight	torch.Size([2288, 640])
module.encoder.layers.2.mlp.linear_fc2.weight	torch.Size([640, 1144])
module.encoder.layers.3.self_attention.linear_proj.weight	torch.Size([640, 640])
module.encoder.layers.3.self_attention.linear_qkv.layer_norm_weight	torch.Size([640])
module.encoder.layers.3.self_attention.linear_qkv.weight	torch.Size([1920, 640])
module.encoder.layers.3.mlp.linear_fc1.layer_norm_weight	torch.Size([640])
module.encoder.layers.3.mlp.linear_fc1.weight	torch.Size([2288, 640])
module.encoder.layers.3.mlp.linear_fc2.weight	torch.Size([640, 1144])
module.encoder.layers.4.self_attention.linear_proj.weight	torch.Size([640, 640])
module.encoder.layers.4.self_attention.linear_qkv.layer_norm_weight	torch.Size([640])
module.encoder.layers.4.self_attention.linear_qkv.weight	torch.Size([1920, 640])
module.encoder.layers.4.mlp.linear_fc1.layer_norm_weight	torch.Size([640])
module.encoder.layers.4.mlp.linear_fc1.weight	torch.Size([2288, 640])
module.encoder.layers.4.mlp.linear_fc2.weight	torch.Size([640, 1144])
module.encoder.layers.5.self_attention.linear_proj.weight	torch.Size([640, 640])
module.encoder.layers.5.self_attention.linear_qkv.layer_norm_weight	torch.Size([640])
module.encoder.layers.5.self_attention.linear_qkv.weight	torch.Size([1920, 640])
module.encoder.layers.5.mlp.linear_fc1.layer_norm_weight	torch.Size([640])
module.encoder.layers.5.mlp.linear_fc1.weight	torch.Size([2288, 640])
module.encoder.layers.5.mlp.linear_fc2.weight	torch.Size([640, 1144])
module.encoder.layers.6.self_attention.linear_proj.weight	torch.Size([640, 640])
module.encoder.layers.6.self_attention.linear_qkv.layer_norm_weight	torch.Size([640])
