Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_077837.1,Mammalian orthoreovirus 3 Dearing,RefSeq,GCF_006298385.1,"Hosseini,M., Brown,E.G., Bell,J.C.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Dearing,Mammalian orthoreovirus,1198,complete,USA,,Homo sapiens,,2002-01
NC_078062.1,Heartland virus,RefSeq,GCF_013086545.1,"Muehlenbachs,A., Fata,C.R., Lambert,A.J., Paddock,C.D., Velez,J.O., Blau,D.M., Staples,J.E., Karlekar,M.B., Bhatnagar,J., Nasci,R.S., Zaki,S.R.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Bandavirus heartlandense,1753,complete,USA,,Homo sapiens,blood,2013
NC_078071.1,Cocle virus,RefSeq,GCF_013086615.1,"Palacios,G., Wiley,M.R., Travassos da Rosa,A.P., Guzman,H., Quiroz,E., Savji,N., Carrera,J.P., Bussetti,A.V., Ladner,J.T., Lipkin,W.I., Tesh,R.B., Wiley,M., Travassos da Rosa,A.P.A., Carrera,J.-P., Ladner,J., Test,R.B.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus cocleense,4352,complete,Panama,,Homo sapiens,,2009
NC_078297.1,Dar es Salaam virus TZ-189,RefSeq,GCF_018595055.1,"Laubscher,F., Cordey,S., Hartley,M.-A., Vieille,G., Boillat-Blanco,N., Samaka,J., Mlaganile,T., d'Acremont,V., Kaiser,L.","National Center for Biotechnology Information, NIH",USA,2023-05-06,TZ-189,Tanzavirus daressalaamense,3776,complete,Tanzania,,Homo sapiens,blood,2014
NC_079000.1,Songling virus,RefSeq,GCF_029888075.1,"Ma,J., Lv,X.L., Zhang,X., Han,S.Z., Wang,Z.D., Li,L., Sun,H.T., Ma,L.X., Cheng,Z.L., Shao,J.W., Chen,C., Zhao,Y.H., Sui,L., Liu,L.N., Qian,J., Wang,W., Liu,Q., Jun,M.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Songling virus,4335,complete,"China: Heilongjiang, Lanxi",,Homo sapiens,,1930-05
NC_079009.1,Beiji nairovirus,RefSeq,GCF_029888155.1,"Wang,Y.C., Wei,Z., Lv,X., Han,S., Wang,Z., Fan,C., Zhang,X., Shao,J., Zhao,Y.H., Sui,L., Chen,C., Liao,M., Wang,B., Jin,N., Li,C., Ma,J., Hou,Z.J., Yang,Z., Han,Z., Zhang,Y., Niu,J., Wang,W., Wang,Y., Liu,Q.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Beiji nairovirus,14851,complete,"China: Hulunbeier, Moqi",,Homo sapiens,,2018-05-15
NC_079098.1,Yezo virus,RefSeq,GCF_029888495.1,"Kodama,F., Yamaguchi,H., Tatemoto,K., Sashika,M., Nakao,R., Kariwa,H., Hagiwara,K., Terauchi,Y., Matsuno,K.","National Center for Biotechnology Information, NIH",USA,2023-05-06,HH003-2020,Orthonairovirus yezoense,4281,complete,Japan,,Homo sapiens,blood,2020-08
NC_075016.1,Ross River virus,RefSeq,GCF_002889255.1,"Jones,A., Lowry,K., Aaskov,J., Holmes,E.C., Kitchen,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Ross River virus,11948,complete,Australia: northeast,,Homo sapiens,,2004
NC_075120.1,Bocaparvovirus primate1,RefSeq,GCF_003033285.1,"Huang,Q., Deng,X., Yan,Z., Cheng,F., Luo,Y., Shen,W., Lei-Butters,D.C., Chen,A.Y., Li,Y., Tang,L., Soderlund-Venermo,M., Engelhardt,J.F., Qiu,J.","National Center for Biotechnology Information, NIH",USA,2023-05-04,Salvador1,Bocaparvovirus primate1,5543,complete,Brazil,,Homo sapiens,oronasopharynx,2005
NC_075341.1,Human feces smacovirus 3,RefSeq,GCF_003963575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,SmaCV3_ETH_P15_2016,Porprismacovirus humas3,2511,complete,Ethiopia,,Homo sapiens,feces,2016-04
NC_075369.1,Anelloviridae sp.,RefSeq,GCF_004285195.1,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.","National Center for Biotechnology Information, NIH",USA,2023-05-04,ctbg056,Anelloviridae sp.,2381,complete,USA,,Homo sapiens,blood,2017-06-01
NC_075724.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,RefSeq,GCF_008792745.1,"Tatsumi,M., Nakanishi,K., Tsutsumi,H.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Sapporo virus,7433,complete,Japan,,Homo sapiens,feces,1982
NC_075996.1,Human PoSCV5-like circular virus,RefSeq,GCF_013087445.1,"Cui,L., Wu,B., Zhu,X., Guo,X., Ge,Y., Zhao,K., Qi,X., Shi,Z., Zhu,F., Sun,L., Zhou,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,MRJ,Human PoSCV5-like circular virus,3018,complete,China,,Homo sapiens,oronasopharynx,2016-04-05
NC_076131.1,TTV-like mini virus,RefSeq,GCF_018580125.1,"Galmes,J., Li,Y., Rajoharison,A., Ren,L., Dollet,S., Richard,N., Vernet,G., Javouhey,E., Wang,J., Telles,J.N., Paranhos-Baccala,G., Li,S., Telles,J.-N., Baccala,G.","National Center for Biotechnology Information, NIH",USA,2023-05-04,TTMV_LY3,TTV-like mini virus,2915,complete,France,,Homo sapiens,,2009-02-06
