Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
MF472626.2,Simian foamy virus,GenBank,set:MF472626,"Switzer,W.M.","Centers for Disease Control and Prevention, Division of HIV/AID Prevention",USA,2020-05-06,9406,Simian foamy virus,13113,complete,USA,,Homo sapiens,blood,2000-05-30
JQ943659.1,Influenza B virus (B/Ontario/0077145/2011),GenBank,set:e213fbd991cd69f2a9b4411450f0edb60ac729f4,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.","Public Health Ontario, Molecular Diagnostics and Research",Canada,2012-05-16,,Betainfluenzavirus influenzae,1595,complete,Canada,,Homo sapiens,oronasopharynx,2011-04-21
AB933720.1,Norovirus Hu/GII.4/Hiroshima2/2011/JP,GenBank,set:AB933720,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Hiroshima,,Homo sapiens,feces,2011
JN400599.1,Norovirus Hu/GII-4/CGMH01/2006/TW,GenBank,set:JN400599,"Tsai,C.N., Lin,C.Y., Lin,C.W., Shih,K.C., Chiu,C.H., Chen,S.Y., Tsai,C.-N., Lin,C.-Y., Lin,C.-W., Shih,K.-C., Chi,H.-C., Chao,H.-C., Lai,M.-W., Yu,T.-H., Chen,S.-Y., Chiu,C.-H.",Graduate Institute of clinical medical sciences,Taiwan,2012-07-08,,Norwalk virus,7509,complete,Taiwan,,Homo sapiens,feces,2006-01-13
KC292278.1,SFTS virus HNXY_157,GenBank,set:8d5e4bab8746ff42579d8eac751d31b59f172eb8,"Liu,W., Lu,Q.B., Cui,N., Li,H., Wang,L.Y., Liu,K., Yang,Z.D., Wang,B.J., Wang,H.Y., Zhang,Y.Y., Zhuang,L., Hu,C.Y., Yuan,C., Fan,X.J., Wang,Z., Zhang,L., Zhang,X.A., Walker,D.H., Cao,W.C., Lu,Q.","State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology",China,2013-04-15,,SFTS phlebovirus,1744,complete,"China: Henan, Xinyang",,Homo sapiens,,
NC_075996.1,Human PoSCV5-like circular virus,RefSeq,GCF_013087445.1,"Cui,L., Wu,B., Zhu,X., Guo,X., Ge,Y., Zhao,K., Qi,X., Shi,Z., Zhu,F., Sun,L., Zhou,M.","National Center for Biotechnology Information, NIH",USA,2023-05-04,MRJ,Human PoSCV5-like circular virus,3018,complete,China,,Homo sapiens,oronasopharynx,2016-04-05
ON881138.1,rhinovirus C53,GenBank,,"Xie,Z.","Beijing Pediatric Research Institute, Laboratory of Infection and Virology",China,2023-03-25,GY17017,Rhinovirus C,7145,complete,China,,Homo sapiens,oronasopharynx,2017-12-18
NC_017996.1,Human papillomavirus 140,RefSeq,GCF_000898855.1,"Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.","National Center for Biotechnology Information, NIH",USA,2012-06-04,NJ2801C1,Gammapapillomavirus 11,7341,complete,USA,,Homo sapiens,,2009
KF551072.1,Influenza A virus (A/Ontario/015/2012(H3N2)),GenBank,set:b9741e09b9ebc78ac47b8114f58a291ffc3bdf41,"Skowronski,D.M., Janjua,N.Z., Sabaiduc,S., De Serres,G., Winter,A.L., Gubbay,J.B., Dickinson,J.A., Fonseca,K., Charest,H., Bastien,N., Li,Y., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Krajden,M., Petric,M., Eshaghi,A., Rosenfeld,P., Li,A., Olsha,R.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2013-09-21,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-03-05
KF193404.1,Influenza A virus (A/Zhejiang/KLED32/2013(H7N9)),GenBank,set:cf04ea7021313fc51fe1921c4d79cb42483192d7,"Chen,Y., Gao,J., Li,Z., Xu,C., Feng,Y., Wang,X., Yan,J., Mao,H., Zhang,Y., Lu,Y.","Zhejiang Provincial Center for Disease Control and Prevention, Institute of Virology",China,2013-09-30,,Alphainfluenzavirus influenzae,1683,complete,China,,Homo sapiens,,2013-04
KR733225.1,Influenza B virus (B/Taiwan/01261/2008),GenBank,set:b89897378cdb2ee34529fe2b4d4d876d88b17e34,"Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.","Chang Gung University, Research Center of Viral Infections",Taiwan,2016-01-01,,Betainfluenzavirus influenzae,1557,complete,"Taiwan: Clinical Virology Laboratory, Linkou Chang Gung Memorial Hospital",,Homo sapiens,,2008-06-20
HQ325762.1,Influenza A virus (A/Sydney/449N/2005(H3N2)),GenBank,set:8c29bd2cf5c62d1e432ea0bc939a85338e9ed3e6,"Wong,K.K., Bull,R.A., Stelzer-Braid,S., Fennell,M., Rawlinson,W., Wong,K.Y., Bull,R.","Prince of Wales Hospital, Virology Divison, Department of Microbiology",Australia,2011-05-27,,Alphainfluenzavirus influenzae,2280,complete,Australia,,Homo sapiens,,2005-08-08
KJ943224.1,Influenza A virus (A/Santiago/p20d2/2013(H1N1)),GenBank,GCA_038690995.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1754,complete,Chile: Lo Prado,,Homo sapiens,,2013-06-22
